,,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Area Code,Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,"Autauga County, Alabama",-0.9557541442288132,-0.9228477599247852,-1.0637001124297627,-1.0879779232037596,-1.1679919192752344,-1.290512511667704,-1.3987115465831423,-1.4100923317804697,-1.4510636979147982,-1.4285573001141485,-1.505755033077911,-1.5260885696020057,-1.5835891700659035,-1.5819896659154544,-1.5806026982126562,-1.586828657211715,-1.5536158226157446,-1.5518236837629944,-1.524567001911321,-1.4672920155127778,-1.1473978598583396,-1.0445718902197512,-1.2114701925956726,-1.161665002763859,-1.2703455698411423,-1.314663199142347,-1.4950044851531097,-1.5122539702638318,-1.5428787329794424,-1.5130574469464304,-1.5971788148915202,-1.6410120956093903,-1.7889000218923892,-1.7797565357011238,-1.7338699560595832,-1.729079466617088,-1.7311389336479408,-1.7214520551339276,-1.6969334714587436,-1.6891048329992553,-0.8974197758614729,-0.94503142498175,-1.0166355814406267,-1.134363975801473,-1.1543191502053332,-1.078528699349543,-1.227046797814596,-1.263515255310855,-1.2569257111941687,-1.2852559457403427,-1.2854897520339068,-1.3344728824830123,-1.3908464269624563,-1.4273581427988773,-1.4657018470526324,-1.4034394414071103,-1.383764576625759,-1.3295930348021103,-1.352391684977006,-1.3550871768210269
1027,"Clay County, Alabama",0.2739997847479276,0.1803224532882184,0.1707919812170912,0.0783080446051245,0.1655311479394038,0.2211409527958172,0.3801690232789727,0.1407412067108057,-0.2046677765278533,-0.3747585146394906,-0.4028883665648966,-0.5156116560294767,-0.536033701217092,-0.5107681220645284,-0.4604886297818489,-0.3559788883830388,-0.2650607027708099,-0.1761262799036765,-0.0895336185528075,-0.0550077724120032,0.6053738442256905,0.471001523407158,0.3853988843806967,0.163451029370683,0.1782265123580768,0.2626321771734135,0.4438178452852805,0.3103419164267402,-0.0303139006702617,-0.284832511713034,-0.2959717339706788,-0.3528653503379508,-0.3840571905995883,-0.3956996773812771,-0.2563105032819151,-0.1777271607751668,-0.1030374897895696,0.0403829343527115,0.1622164172666263,0.1791839598149577,-1.0569688296126558,-1.1707608778488727,-1.2865687231379537,-1.3565474564640387,-1.4242003721822345,-1.3874473205343347,-1.4179575801538304,-1.3186997756777352,-1.3188821052031303,-1.344706399808319,-1.4218374874601611,-1.4120592120370803,-1.4286044031771603,-1.4870058475842003,-1.5904972914251712,-1.6306591227843672,-1.5913771063257498,-1.5851581879325358,-1.5038141810044074,-1.482013597108519
1037,"Coosa County, Alabama",-1.1287683157489417,-1.38875190079178,-1.5615705711562269,-1.5704158512666893,-1.769954410788323,-1.633017457599808,-1.4816052649367908,-1.6237189860820118,-1.763619358739806,-1.8786846731674087,-2.08899606903278,-2.103986117545692,-2.0952905179025323,-2.1707448296585627,-2.1089770611086283,-2.147129161961087,-2.068593837106783,-2.0156507063528863,-1.969658463740956,-2.037638233849195,-1.9197897520666352,-2.1166984009115573,-2.286863523665411,-2.354315379001725,-2.4782532694906143,-2.447927324262556,-2.350364082856484,-2.241686005064937,-2.360238158131457,-2.4711584870707584,-2.851157034748675,-2.849317862869746,-2.751434630886561,-2.9466962793721763,-2.87916060461134,-2.8619117045330187,-2.717867145980597,-2.593823520127088,-2.5221009052808747,-2.459667935949768,-2.0097350400974268,-2.196660739723935,-2.1393859185694093,-2.410547353616082,-2.30705092272169,-2.481353428777336,-2.385855521479866,-2.4110122916748336,-2.484797624096963,-2.435041139838176,-2.790855780424556,-2.689865955415431,-2.6644116096311827,-2.746752124640217,-2.764208965494701,-2.7817049162403444,-2.608798114135662,-2.549850779891972,-2.5636223442140564,-2.445121876835122
1041,"Crenshaw County, Alabama",-0.8379673319926824,-0.9014083260270316,-0.9177320257839844,-1.1716034218677671,-1.1884314338591686,-0.77246665416273,-0.4751685251444351,-0.5359545116603426,-0.5168282111743251,-0.5662422481831937,-0.2695136486819383,-0.3431682239611355,-0.4049441711284104,-0.2961929658298056,-0.2687189459723138,-0.2405960851868973,-0.2617830410655227,-0.4122131211804472,-0.3866756647754106,-0.3030709880372617,-1.0083197448136618,-1.0135952547254434,-0.9303722792993172,-1.1375203053381069,-1.2115525929330246,-0.7704546596222275,-0.493157747324261,-0.5438367705414672,-0.5859530789235831,-0.6724382376682436,-0.4046723605945299,-0.3702942387832066,-0.5046570321147259,-0.4146095077973035,-0.3825570158298935,-0.3413393746608686,-0.3265641986030618,-0.3837925754610402,-0.4258426150751355,-0.3780327614175677,-0.624878625477816,-0.6797610290814483,-0.8186896680987665,-0.9806587472616124,-0.9227349907261254,-0.9898413792152708,-1.0989213026675508,-1.1127885435142864,-1.0130685349308497,-1.063573575124071,-1.1200687354434309,-1.1322696177174136,-1.2485184476869675,-1.2347047958609507,-1.189651349541101,-1.148729791261638,-1.1360946773988894,-1.0954948640222353,-1.0994968817576656,-1.0600040893647928
1049,"DeKalb County, Alabama",-0.18604133626711,-0.2159566764142835,-0.1349578839603651,-0.1243900375989709,-0.2709550515581678,-0.3945845750974349,-0.3845395126813138,-0.4869414779661931,-0.5184790776238336,-0.6355243574721149,-0.6143703650293212,-0.8275010024437989,-0.812488247913003,-0.7917792685620904,-0.7300119046370458,-0.7472870750673246,-0.7614260173150683,-0.7216357917201792,-0.6335564793381009,-0.5961262595609884,0.1486637351486142,0.143057549005671,0.1914270802543156,0.1384392855117967,0.0178683353294193,-0.0878405686224273,-0.0613838353036445,-0.1587998063195847,-0.211163658619194,-0.4745401657430127,-0.3968336548884782,-0.5465617965089119,-0.5764269937371693,-0.5022900130092753,-0.4801890551352776,-0.4996666157610002,-0.5313994210889628,-0.507396626429454,-0.4200864020169378,-0.3559797166272772,-0.577925991246765,-0.6365062786258557,-0.6797546993810109,-0.7528023782930231,-0.8053209556894199,-0.8370324279038079,-0.9153125197334784,-0.9336836250884972,-0.938110350675578,-1.031151395616709,-1.0614915878574092,-1.0818309684612282,-1.1710866633985195,-1.2317036482216386,-1.216264244916296,-1.2405606756926195,-1.225121959525003,-1.151824196884335,-1.1225118632105753,-1.1351653672150537
1067,"Henry County, Alabama",-0.2292517209737887,-0.248939066429231,-0.2029261833540903,-0.2701039449073463,-0.3444193641821538,-0.1589153778781129,-0.1377690885609716,-0.294966403513701,-0.6094082481670159,-0.8255845116651418,-0.9779026687604538,-1.001364062482942,-0.9764496678053938,-1.0013559063907522,-0.976172986111829,-0.9460407988077985,-0.8852772906696887,-0.9113558554726108,-0.9111924547282736,-0.8530028139747505,-0.3600550554191808,-0.3541433532246064,-0.3918128112875023,-0.4891457531308639,-0.6494880742486364,-0.4783863512882411,-0.4558173022446115,-0.6813549338169014,-1.042914178350767,-1.2940181191688624,-1.409016681122396,-1.4627156861336204,-1.4366169074321322,-1.4937512476425054,-1.4246488180221188,-1.411049782559756,-1.5123367458432166,-1.4917369294506986,-1.4522226548882866,-1.4286844935218146,-0.6321932025366108,-0.5925432982904151,-0.6768964112794933,-0.7229455721866723,-0.7001090289766239,-0.7108740110576877,-0.7106015833759611,-0.6527690015033172,-0.6635700455293061,-0.7784596020076172,-0.8541316619519711,-0.8608513604311641,-0.9473469917173424,-0.9907340973277892,-1.0211028013556112,-0.9613224193594836,-0.9579245496786858,-0.9137884926706769,-0.8833890374141444,-0.8980885618719717
1083,"Limestone County, Alabama",0.4248619478489656,0.2615642247984012,0.209176810839605,0.4172178447298199,0.2850236653822987,0.2211528578858583,0.2505902720624505,0.0793974647145027,-0.2039281021750829,-0.5093538607615282,-0.5277976306353527,-0.5663351991085678,-0.5003290437274297,-0.631601233984982,-0.5861833819292402,-0.5733720780534509,-0.5883669453154865,-0.5959520714802301,-0.543841194334588,-0.6666934489460382,-0.3558657757752304,-0.4191162462251018,-0.5364445191204157,-0.4605599666422272,-0.5231130623614626,-0.5715075145449705,-0.6267779723051532,-0.4875801446701725,-0.7025154240310165,-0.928242979267551,-1.03438469832936,-1.064864277651134,-1.058589306526105,-1.0782783061829335,-1.0881259457347954,-1.0836535362230684,-1.1647408908148584,-1.127293783801021,-1.118399265411186,-1.1729103407721384,-1.1394535194974478,-1.1517562544552695,-1.1961018579969147,-1.2128198749701895,-1.1623405747517723,-1.116045638220933,-1.1581412163825695,-1.1358410860480388,-1.1155186299289173,-1.2168526629679874,-1.2416834063922595,-1.286120336899106,-1.34765728416936,-1.3257102312789804,-1.3617455264359315,-1.3969890073782048,-1.367542384763327,-1.3121109801297604,-1.352698201374925,-1.4021908759742434
1133,"Winston County, Alabama",0.32549902600214,0.0599224198558423,0.0279808219655586,-0.0541004951568808,0.0281378064346812,0.1410786107699762,0.1169687779440577,-0.032637008620296,-0.1685728796446808,-0.4958817765273478,-0.5589785463517245,-0.5302324805883497,-0.4855431129140704,-0.427416080929007,-0.3921848184923662,-0.3963296638691388,-0.2683502103278566,-0.1286480191217377,-0.0391309845262148,0.0331458099102607,0.6855356575695407,0.3454107529055849,0.3536600776257908,0.2785450812957559,0.326477520550639,0.4152116734283272,0.4504933653992948,0.3142299450916305,0.134696638349585,-0.3075338647574943,-0.2618409776180271,-0.2186410923196727,-0.1976554849973554,-0.1592110741330562,-0.1269997711476785,-0.1383624770248654,-0.0626473770845731,0.0657199559940942,0.1201039957884523,0.222494967441559,-0.4208109263148408,-0.4250925944305261,-0.497886752062608,-0.547981501676135,-0.5260189977694106,-0.5023451942223041,-0.560263907929625,-0.739614154660121,-0.8064137769032034,-0.8722908707017906,-0.7678477912759722,-0.6738387863673805,-0.7108109563458794,-0.836493372293676,-0.8521760500759509,-0.8652881983308224,-0.8309363317569362,-0.7273893298046523,-0.6977236135175966,-0.712217353613629
