,,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,wage,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,emp,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab,estab
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Area Code,Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,"Autauga County, Alabama",-0.9557541442288132,-0.9228477599247852,-1.0637001124297627,-1.0879779232037596,-1.1679919192752344,-1.290512511667704,-1.3987115465831423,-1.4100923317804697,-1.4510636979147982,-1.4285573001141485,-1.505755033077911,-1.5260885696020057,-1.5835891700659035,-1.5819896659154544,-1.5806026982126562,-1.586828657211715,-1.5536158226157446,-1.5518236837629944,-1.524567001911321,-1.4672920155127778,-1.1473978598583396,-1.0445718902197512,-1.2114701925956726,-1.161665002763859,-1.2703455698411423,-1.314663199142347,-1.4950044851531097,-1.5122539702638318,-1.5428787329794424,-1.5130574469464304,-1.5971788148915202,-1.6410120956093903,-1.7889000218923892,-1.7797565357011238,-1.7338699560595832,-1.729079466617088,-1.7311389336479408,-1.7214520551339276,-1.6969334714587436,-1.6891048329992553,-0.8974197758614729,-0.94503142498175,-1.0166355814406267,-1.134363975801473,-1.1543191502053332,-1.078528699349543,-1.227046797814596,-1.263515255310855,-1.2569257111941687,-1.2852559457403427,-1.2854897520339068,-1.3344728824830123,-1.3908464269624563,-1.4273581427988773,-1.4657018470526324,-1.4034394414071103,-1.383764576625759,-1.3295930348021103,-1.352391684977006,-1.3550871768210269
1005,"Barbour County, Alabama",0.4683383402353738,0.3407372602824021,0.2147506112440765,0.2996783171618608,0.2637521823358792,0.3228022232869558,0.3155579309096085,0.261351683709028,0.1544009534291641,0.0631938195695552,0.0911943647433309,0.0054826255347825,-0.1484199454179665,-0.155173475582575,-0.2210254213106072,-0.164862654612863,-0.2060905256298679,-0.1595942383735674,-0.0262867367256456,-0.1004720046449876,0.7260596745419038,0.686478021323972,0.6037431480713255,0.6542303698251074,0.5338893522580725,0.6481107682139461,0.6300405717828497,0.5183471131662251,0.4136718351108607,0.2964858053577801,0.3403167619352513,0.2040365839319416,0.0030706071818937,-0.024041295568272,-0.1249259963582234,-0.0713872121424151,-0.1157054956592364,-0.0078816422002204,0.0488522049000417,0.1077748318461406,-0.2087156573070335,-0.2709759050899885,-0.408591613373282,-0.4381219052311003,-0.3761209451730634,-0.3906688683849125,-0.3816239966265347,-0.4024065082347934,-0.395697029180547,-0.4153480810327275,-0.4260338211392993,-0.463178676931256,-0.5406322564731485,-0.5630184680248957,-0.5838847904302916,-0.5896707543156278,-0.6053851153883195,-0.4995519678931062,-0.4821198319033679,-0.4512703307203211
1007,"Bibb County, Alabama",-1.561458482155082,-1.7744443663444398,-1.641081831902471,-1.572617540542789,-1.4774333600166845,-1.5105899287549462,-1.467289888308161,-1.357615195143773,-1.3841483211225671,-1.4375281916045608,-1.3034532137470407,-1.3002358996869603,-1.2158451663085676,-1.1231124951861946,-1.0949957387372191,-1.2538157991001069,-1.167557642388239,-1.2204960012802302,-1.1954897007878778,-0.8950081857144991,-1.6274445916319318,-1.9946967422419093,-1.9359778172844104,-1.8485293416674105,-1.8152260623140195,-1.8353293365436885,-1.7919872370785022,-1.7080719367216115,-1.7147931687803288,-1.7578398844753702,-1.7117490441024483,-1.7036548665961246,-1.62970456719237,-1.5790448544953644,-1.5734942125386877,-1.7233870130856312,-1.68891613260003,-1.7111997960320222,-1.61498353636322,-1.3582608601173212,-1.0974911633899849,-1.3508168275665968,-1.3778645028676553,-1.4871075146635098,-1.501196755829221,-1.4680097683359046,-1.4810327818372957,-1.4734058343023266,-1.473664359935822,-1.6368309952702986,-1.6237636171963563,-1.637018619107401,-1.5502020554031513,-1.6269293865644252,-1.597059410782505,-1.660492264467321,-1.6456542031759973,-1.417018036980347,-1.330917178570961,-1.3989911295196735
1009,"Blount County, Alabama",-2.2009180412955125,-2.239844445233868,-2.4378511942371826,-2.5494938193800345,-2.593569184808066,-2.550401011070617,-2.476766844354389,-2.416268796251869,-2.3565595050643666,-2.404443441915374,-2.5054228662423794,-2.521752059186533,-2.480157406103515,-2.4819298695679697,-2.4602268621353214,-2.510232274869814,-2.529225062228456,-2.499380265224308,-2.424282762038343,-2.4314470537275104,-2.245630730309174,-2.257786986239537,-2.5401196414137166,-2.6412188677043167,-2.730701519949706,-2.668596544686469,-2.6593033642864663,-2.5019620209524844,-2.4588382291352398,-2.486581496612803,-2.5532332292128213,-2.61163724965168,-2.5954829023934467,-2.629755918977968,-2.726014142224794,-2.7258672181832466,-2.7242103780097597,-2.676602635952384,-2.6030894882992146,-2.550053990613508,-1.370566249731225,-1.4927100349730464,-1.674199550749996,-1.755758417219496,-1.6913645777445367,-1.5790261337245568,-1.6476090143171154,-1.7159065698612523,-1.7366487804889554,-1.8043009590033572,-1.8699506825595649,-1.9036665608263,-1.9409251737696969,-1.9794818243760348,-2.003894030639522,-1.943702348332152,-1.8708739988483007,-1.7871432947859776,-1.7766969996393251,-1.8003354669114198
1017,"Chambers County, Alabama",-0.0037514633999944,0.0303340650658873,0.0679724073657594,0.0489690337193961,-0.1672643611458064,-0.2568880233864519,-0.4305942706214571,-0.575867187507886,-1.0595043160226207,-1.2017914781872436,-1.1062271415761813,-0.9828831130832996,-0.9760482666920453,-0.9469497345637542,-0.9278593544678044,-0.9530098507198276,-0.903428241437012,-0.8250919514227625,-0.8059565673924236,-0.7533129273354955,-0.0376561158183447,-0.0184742281231856,-0.028736250524105,-0.0989322935191793,-0.2133528342590347,-0.2229288577592324,-0.4508960811899115,-0.5388748069439064,-1.0970353074579786,-1.286839261272034,-1.121609223658378,-0.9484914544534806,-0.9475375241748082,-0.927398179329037,-0.90789128351117,-0.9872361541314266,-0.9696451097885004,-0.8748148013469896,-0.8643252992386925,-0.7939604386297445,-0.930755148684816,-0.9909114777540444,-1.0357409605305543,-1.085733919547185,-1.0359593257138622,-1.0186629157812035,-1.0885162479626642,-1.0870682829783975,-1.0255678681077482,-1.0842862458906015,-1.07647598416153,-1.0981341281373558,-1.1567911773548671,-1.1929848452630003,-1.1920821363189793,-1.147270159699953,-1.089857502301513,-1.0814307485752177,-1.0550690172029649,-0.966595242222481
1019,"Cherokee County, Alabama",-1.6319692559816752,-1.6074140478225518,-1.6112443803765268,-1.57272264403494,-1.4513782572489111,-1.4288274843819029,-1.570013381828791,-1.4363891659712842,-1.3605104063773648,-1.516229345236132,-1.4902409174975877,-1.52751601862234,-1.584755010595283,-1.4634503170541753,-1.3829536068477732,-1.4160924595911533,-1.4622503186814229,-1.4893987499151715,-1.4441663686357027,-1.5077575339058202,-1.6549541210452847,-1.6020285076599017,-1.5908136517538414,-1.5176927993781144,-1.4342068706770257,-1.436597923238064,-1.5708070375586471,-1.487262836130391,-1.448611235652467,-1.57224300765474,-1.57747196669017,-1.570809523966872,-1.604157453952186,-1.5160461034711783,-1.4440698710073252,-1.4934111673273045,-1.5019384214604337,-1.5307038817236855,-1.4312400384284591,-1.493430086936392,-1.243710148025255,-1.1942758530937876,-1.278711625354697,-1.3701479681758295,-1.3662297164198207,-1.366543971880338,-1.507149676234811,-1.4019093687480484,-1.3944943728540922,-1.5942372128177935,-1.552763350159319,-1.487471863850622,-1.4775736329538256,-1.5141565398190704,-1.4517452306400342,-1.4389920083230598,-1.4884980872998523,-1.4944565742300695,-1.4255964060786894,-1.5156298731279274
1021,"Chilton County, Alabama",-1.7054414793708228,-1.8156208920937007,-1.7527560360235843,-1.72350887348003,-1.6357974101690065,-1.6029905852698152,-1.4956724202577594,-1.49102784417167,-1.5818658482286905,-1.6441713140920176,-1.642340011084525,-1.5757530835779232,-1.485488182274151,-1.3495593987500027,-1.3467261832228772,-1.33556906349509,-1.3515640826210076,-1.317701698668554,-1.269422186466764,-1.2698457018328222,-1.6090046515741252,-1.7375300555806503,-1.7497224386564056,-1.7673828117071604,-1.6637784022499047,-1.5967862170609566,-1.5168499295488334,-1.4933078506538455,-1.565724372391605,-1.6489535754128055,-1.6500878105440906,-1.6228081446630778,-1.4562494498904075,-1.344766014254994,-1.3779722178106049,-1.3897377771586323,-1.3683324871999,-1.4284259011815077,-1.3744396429617445,-1.3913476513505754,-0.6538572118618204,-0.7495286021153953,-0.8184582233929532,-0.8767511840614634,-0.7944664081003718,-0.7971056113687204,-0.8830677661205681,-0.8870761119456907,-0.8764954467864093,-1.0651821028288126,-1.0681083008952197,-1.135458860361307,-1.1776585432491924,-1.1834994817531694,-1.169809190403863,-1.1029432927591392,-1.122721090710091,-1.0839575914048982,-0.9718304687397978,-0.967193117176043
1023,"Choctaw County, Alabama",1.1736466454250984,0.9421694974069812,1.0171742988973098,0.8706082725850806,0.8284524197469623,0.9017448205314692,0.906357558849179,0.732199507767399,0.5289404557542787,0.5560629015162849,0.6014271811665911,0.5066035457911335,0.5691699931680445,0.5695787658172764,0.4228778831409024,0.3094861129469085,0.2986238807311479,0.3481077470163649,0.6355495811227982,0.6112821951521419,-0.1099482850266812,-0.3171200039213231,-0.3847279646197897,-0.4601999326798294,-0.4422712130636684,-0.4325349506770625,-0.4104733511898625,-0.4246300533309027,-0.5347258641673248,-0.4936114866815448,-0.4245343356399835,-0.4589667046364603,-0.3568622666148817,-0.3532572711969883,-0.4862293437257014,-0.5419183870777203,-0.5229533609624878,-0.3978214436826189,-0.1148393641018781,-0.1534643389402324,-0.4088993485744505,-0.456725347420985,-0.5022343488433535,-0.5900121755812175,-0.5179706491143983,-0.3877445399837202,-0.4007683031492357,-0.3729491114087955,-0.4545063290324218,-0.5638908796064444,-0.6392800037150467,-0.6187887360079817,-0.6308652671989208,-0.6502036025117353,-0.7081157859963063,-0.7072079166368854,-0.688770955905766,-0.5628228399144284,-0.3619275126199729,-0.2092042935668676
