Geographic Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Abbeville County, South Carolina",26229,26330.0,26311.0,26306.0,26235.0,25995.0,25821.0,25745.0,25699.0,25614.0,25328,25081,25019,24899,24795,24796,24657,24567,24587,24527
"Acadia Parish, Louisiana",58795,58844.0,59065.0,59194.0,59223.0,59524.0,60522.0,60762.0,61115.0,61451.0,61877,61865,61997,62299,62667,62679,62786,62559,62214,62045
"Accomack County, Virginia",38215,37742.0,37308.0,36742.0,36310.0,35835.0,35192.0,34553.0,33970.0,33415.0,33148,33225,33268,32969,32971,32914,32871,32685,32581,32316
"Ada County, Idaho",303328,313896.0,321616.0,327393.0,334926.0,348755.0,363498.0,375368.0,382618.0,388577.0,393354,401262,408862,415951,425471,432862,444486,456548,468764,481587
"Adair County, Iowa",8223,8132.0,8059.0,8050.0,8019.0,7932.0,7924.0,7871.0,7747.0,7676.0,7679,7546,7468,7387,7368,7145,7005,7051,7074,7152
"Adair County, Kentucky",17327,17584.0,17762.0,17924.0,17994.0,18128.0,18335.0,18493.0,18541.0,18729.0,18757,18987,18934,19124,19262,19162,19259,19287,19199,19202
"Adair County, Missouri",24956,24967.0,25072.0,24958.0,24988.0,24849.0,25007.0,24983.0,25399.0,25577.0,25625,25657,25675,25703,25521,25353,25244,25429,25476,25343
"Adair County, Oklahoma",21031,21101.0,21271.0,21445.0,21589.0,21887.0,22215.0,22345.0,22346.0,22477.0,22756,22667,22468,22460,22384,22259,22305,22119,22224,22194
"Adams County, Colorado",350888,359816.0,370753.0,377464.0,384809.0,395146.0,406575.0,415746.0,424913.0,435700.0,443691,452201,460558,469978,479946,490443,497734,503590,511354,517421
"Adams County, Idaho",3477,3495.0,3559.0,3624.0,3693.0,3817.0,3788.0,3949.0,4021.0,4000.0,3962,3981,3908,3863,3883,3891,3941,4127,4234,4294
"Adams County, Illinois",68183,68014.0,67776.0,67267.0,66818.0,66920.0,67106.0,66943.0,66943.0,67039.0,67160,67211,67139,66999,66966,66835,66475,66057,65623,65435
"Adams County, Indiana",33597,33556.0,33523.0,33746.0,33822.0,33867.0,33887.0,33962.0,34214.0,34351.0,34444,34368,34400,34644,34758,34945,35178,35385,35595,35777
"Adams County, Iowa",4476,4402.0,4370.0,4365.0,4307.0,4226.0,4224.0,4195.0,4151.0,4047.0,4023,3994,3910,3891,3877,3754,3692,3657,3644,3602
"Adams County, Mississippi",34246,33945.0,33730.0,33482.0,32785.0,32674.0,33220.0,32889.0,32629.0,32305.0,32574,32435,32191,32111,32072,31561,31569,31462,31044,30693
"Adams County, Nebraska",31154,31021.0,30716.0,30693.0,30740.0,30987.0,30910.0,30892.0,31160.0,31280.0,31328,31204,31345,31527,31389,31567,31683,31808,31514,31363
"Adams County, North Dakota",2578,2542.0,2509.0,2469.0,2436.0,2405.0,2366.0,2362.0,2343.0,2325.0,2350,2311,2333,2391,2388,2397,2344,2324,2276,2216
"Adams County, Ohio",27317,27522.0,27817.0,28111.0,28328.0,28522.0,28615.0,28538.0,28686.0,28500.0,28537,28459,28293,28089,28066,27926,27807,27753,27694,27698
"Adams County, Pennsylvania",91457,92591.0,93934.0,95503.0,97300.0,98606.0,99899.0,100502.0,101056.0,101252.0,101479,101474,101254,101137,101353,101808,101911,102562,103062,103009
"Adams County, Washington",16458,16259.0,16445.0,16612.0,16664.0,16918.0,16997.0,17413.0,17782.0,18405.0,18790,18877,18944,19098,19177,19233,19369,19651,19736,19983
"Adams County, Wisconsin",20047,20337.0,20578.0,20644.0,20774.0,21211.0,21185.0,21156.0,21101.0,20930.0,20878,20769,20417,20413,20125,20028,19982,19900,20341,20220
"Addison County, Vermont",36002,36055.0,36320.0,36432.0,36580.0,36611.0,36758.0,36886.0,36905.0,36847.0,36823,36969,36899,36934,36932,36929,36931,36900,36873,36777
"Aiken County, South Carolina",142742,143676.0,145226.0,146793.0,148746.0,150152.0,152577.0,154814.0,156896.0,158499.0,160552,161594,162922,163702,164215,165688,167172,168325,169449,170872
"Aitkin County, Minnesota",15282,15334.0,15616.0,15795.0,16028.0,16162.0,16357.0,16481.0,16422.0,16168.0,16210,16170,16036,15872,15849,15852,15754,15792,15887,15886
"Alachua County, Florida",218611,221718.0,224614.0,227022.0,229867.0,233756.0,239506.0,242685.0,244888.0,246657.0,247614,249834,251520,252475,255456,259052,263959,266309,268851,269043
"Alamance County, North Carolina",131423,133346.0,135239.0,136009.0,137619.0,139311.0,141462.0,144712.0,147704.0,149954.0,151431,152692,153265,154162,155384,157037,160283,163276,166514,169509
"Alameda County, California",1449840,1469484.0,1462106.0,1454163.0,1445721.0,1441545.0,1444484.0,1455715.0,1477208.0,1498539.0,1512986,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329
"Alamosa County, Colorado",14954,14956.0,15114.0,15067.0,15217.0,15236.0,15196.0,15180.0,15300.0,15289.0,15515,15709,15680,15787,15803,15894,16053,16108,16248,16233
"Albany County, New York",295106,296232.0,298283.0,301085.0,302173.0,302791.0,303997.0,303858.0,303739.0,304733.0,304086,304596,305723,306589,307151,307433,307597,307717,306585,305506
"Albany County, Wyoming",31966,32419.0,32675.0,33098.0,33580.0,33631.0,33950.0,33858.0,34643.0,35743.0,36469,36851,37359,37556,37620,37960,37923,38459,38728,38880
"Albemarle County, Virginia",83532,85002.0,86150.0,87620.0,89491.0,91676.0,93852.0,95009.0,97081.0,98071.0,99204,100213,101464,102270,103732,105117,106431,107768,108377,109330
"Alcona County, Michigan",11677,11665.0,11480.0,11495.0,11459.0,11517.0,11503.0,11412.0,11286.0,11106.0,10879,10743,10573,10554,10450,10330,10360,10309,10360,10405
"Alcorn County, Mississippi",34600,34746.0,34946.0,35045.0,35448.0,35688.0,36183.0,36608.0,36793.0,36868.0,37107,37282,37209,37281,37254,37276,37246,37165,36810,36953
"Aleutians East Borough, Alaska",2693,2590.0,2734.0,2732.0,2727.0,2787.0,2794.0,3012.0,2991.0,3084.0,3166,3259,3294,3343,3346,3373,3363,3455,3395,3337
"Aleutians West Census Area, Alaska",5470,5501.0,5472.0,5709.0,5798.0,5913.0,5658.0,5466.0,5393.0,5537.0,5559,5582,5676,5777,5822,5781,5705,5729,5640,5634
"Alexander County, Illinois",9684,9592.0,9592.0,9254.0,9186.0,8914.0,8730.0,8552.0,8461.0,8295.0,8206,7992,7717,7238,7083,6762,6459,6278,6041,5761
"Alexander County, North Carolina",33774,34187.0,34665.0,34998.0,35343.0,35786.0,36243.0,36609.0,36840.0,37053.0,37233,37026,36922,37012,36987,36960,37133,37143,37331,37497
"Alexandria city, Virginia",129225,130932.0,130614.0,129421.0,128765.0,128181.0,127676.0,129175.0,132949.0,137523.0,140729,144219,147291,149637,151375,153654,156698,159215,159069,159428
"Alfalfa County, Oklahoma",6080,5933.0,5894.0,5827.0,5785.0,5706.0,5639.0,5618.0,5618.0,5585.0,5629,5648,5668,5856,5821,5917,5936,5913,5765,5702
"Alger County, Michigan",9819,9815.0,9764.0,9694.0,9680.0,9633.0,9687.0,9779.0,9647.0,9334.0,9580,9516,9451,9438,9362,9255,9129,9144,9118,9108
"Allamakee County, Iowa",14674,14333.0,14289.0,14345.0,14324.0,14371.0,14378.0,14335.0,14325.0,14263.0,14378,14222,14149,14071,14062,13874,13851,13803,13852,13687
"Allegan County, Michigan",105904,107367.0,108203.0,109192.0,110225.0,110865.0,111156.0,111427.0,111589.0,111252.0,111523,111163,111499,112009,113349,114112,114979,116368,117173,118081
"Allegany County, Maryland",74804,74525.0,74204.0,74076.0,74408.0,73979.0,73980.0,74449.0,74638.0,75101.0,74965,74572,73947,73576,73020,72462,72053,71352,70941,70416
"Allegany County, New York",49819,50079.0,50014.0,50165.0,50311.0,49768.0,49359.0,49079.0,49177.0,48969.0,48971,48800,48210,47900,47652,47334,47044,46639,46332,46091
"Alleghany County, North Carolina",10673,10740.0,10740.0,10776.0,10790.0,10788.0,10940.0,11061.0,11131.0,11125.0,11137,11016,10943,10903,10891,10856,10919,10988,11138,11137
"Alleghany County, Virginia",17213,17082.0,16953.0,16687.0,16645.0,16580.0,16564.0,16530.0,16404.0,16306.0,16203,16163,16034,15923,15605,15425,15387,15128,14986,14860
"Allegheny County, Pennsylvania",1279651,1272416.0,1265577.0,1258420.0,1247531.0,1234787.0,1226025.0,1222482.0,1221071.0,1222171.0,1223957,1228297,1230911,1233700,1233027,1228827,1226426,1220141,1217281,1216045
"Allen County, Indiana",332786,334956.0,337124.0,339569.0,340916.0,343238.0,346314.0,349534.0,351264.0,353693.0,355945,358974,360890,363355,365147,367362,369412,371723,375079,379299
"Allen County, Kansas",14393,14171.0,14110.0,13940.0,13923.0,13733.0,13639.0,13545.0,13422.0,13407.0,13363,13350,13306,13069,12892,12683,12670,12555,12501,12369
"Allen County, Kentucky",17820,17947.0,18219.0,18434.0,18699.0,18910.0,19272.0,19540.0,19838.0,19811.0,20037,20176,20232,20316,20493,20660,20721,20903,21122,21315
"Allen County, Ohio",108589,108523.0,108518.0,107418.0,106826.0,106861.0,106716.0,106717.0,106773.0,106518.0,106358,105988,105244,105055,104848,104095,103613,103093,102725,102351
"Allen Parish, Louisiana",25401,25399.0,25194.0,25327.0,25338.0,25076.0,25692.0,25937.0,25854.0,25863.0,25702,25740,25622,25664,25714,25631,25680,25583,25567,25627
"Allendale County, South Carolina",11193,11022.0,11114.0,11092.0,11049.0,11021.0,10882.0,10787.0,10803.0,10619.0,10354,10236,9982,9825,9701,9430,9067,9012,8924,8688
"Alpena County, Michigan",31269,31179.0,30956.0,30824.0,30735.0,30494.0,30209.0,30180.0,30119.0,29755.0,29510,29340,29166,28957,28882,28722,28663,28428,28384,28405
"Alpine County, California",1209,1196.0,1237.0,1233.0,1263.0,1219.0,1276.0,1274.0,1202.0,1197.0,1161,1093,1110,1128,1080,1077,1047,1111,1089,1129
