Area Code,Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01001,"Autauga County, Alabama",271408036,286478713,285380385,294510040,308828358,315915858,327401659,344361798,348048304,343671502,339507223,344356024,341513497,346301954,357996403,372121908,390543141,403973438,421471042,448078198
01003,"Baldwin County, Alabama",1111836793,1148223606,1209948108,1285592072,1400815870,1556506413,1748925435,1884879602,1927158897,1812253901,1813332562,1867342552,1926968200,2039249324,2153975449,2289992521,2405999881,2542347527,2724884967,2926328541
01005,"Barbour County, Alabama",275633730,267565308,257944698,271424827,275830936,289723031,301528643,306949289,303686419,281049165,284020114,283642912,274141362,277034593,277686028,287488204,280568726,286429822,309995639,307946374
01007,"Bibb County, Alabama",83152374,83888801,91466831,96648423,105904285,110525400,117235805,128747697,131359697,126150880,133484343,135294733,143358732,150995538,158192555,153672464,162759631,163743155,168991784,197822899
01009,"Blount County, Alabama",206285117,210033098,203628173,202211626,208867976,222140321,239594436,255128353,264924573,251420597,241814378,241592968,249082568,253030002,261183071,268107138,275101272,288221287,303943040,312366933
01011,"Bullock County, Alabama",75839775,76974091,78436426,82393814,85552012,81821184,81766163,86960199,88573036,88131503,87703910,88432467,88944424,92774901,95132203,95301236,97928586,99965806,104192033,110025774
01013,"Butler County, Alabama",140394861,140977891,153485303,157951052,159316353,167947330,181144154,181740788,184271030,170272801,185086556,189797949,195616071,205229313,216065672,223541205,230266148,224687545,235096002,244490122
01015,"Calhoun County, Alabama",1202077451,1213505246,1270779704,1353846435,1453236713,1532642070,1620244570,1766258187,1824043534,1742997815,1728903796,1727864850,1688536014,1599273800,1618889789,1605265157,1648250538,1722374178,1762869274,1843592624
01017,"Chambers County, Alabama",307039932,314506348,321271013,322757480,308271141,307721623,298235736,292007495,244081535,221379344,229447806,245060366,253262001,261975030,271530056,278921328,287998103,306127118,317688420,331175717
01019,"Cherokee County, Alabama",101642141,105587630,109490823,114146033,125796590,132566371,133501302,145718137,152869213,140601514,143689642,143991826,143947968,154780520,164271503,167118790,168109058,171463314,181510335,183798734
01021,"Chilton County, Alabama",183148535,180583135,192115562,199637101,216688818,230065344,250997487,263348874,258895764,244933455,247287044,257418772,272293502,293888909,304483653,317814477,324905937,341739577,359546848,373337058
