,Geographic Area,"April 1, 2000",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"April 1, 2010","July 1, 2010"
4,"Autauga County, Alabama",43751,44021,44889.0,45909.0,46800.0,48366.0,49676.0,51328.0,52405.0,53277.0,54135.0,54571,54632
5,"Baldwin County, Alabama",140416,141342,144875.0,147957.0,151509.0,156266.0,162183.0,168121.0,172404.0,175827.0,179406.0,182265,183195
6,"Barbour County, Alabama",29042,29015,28863.0,28653.0,28594.0,28287.0,28027.0,27861.0,27757.0,27808.0,27657.0,27457,27411
7,"Bibb County, Alabama",19856,19913,21028.0,21199.0,21399.0,21721.0,22042.0,22099.0,22438.0,22705.0,22941.0,22915,22867
8,"Blount County, Alabama",50982,51107,51845.0,52551.0,53457.0,54124.0,54624.0,55485.0,56240.0,57055.0,57341.0,57322,57338
9,"Bullock County, Alabama",11603,11581,11358.0,11256.0,11316.0,11056.0,11011.0,10776.0,11011.0,10953.0,10987.0,10914,10890
10,"Butler County, Alabama",21394,21325,21139.0,20803.0,20833.0,20870.0,20830.0,20815.0,20894.0,20949.0,20867.0,20947,20951
11,"Calhoun County, Alabama",111882,111081,111266.0,111625.0,112705.0,113462.0,114477.0,115388.0,116211.0,117274.0,118363.0,118572,118510
12,"Chambers County, Alabama",36600,36571,36274.0,35965.0,35680.0,35463.0,35279.0,34945.0,34847.0,34563.0,34384.0,34215,34157
13,"Cherokee County, Alabama",23909,24006,24182.0,24403.0,24591.0,24887.0,25031.0,25466.0,25553.0,25636.0,25854.0,25989,25991
14,"Chilton County, Alabama",39604,39897,40197.0,40683.0,41079.0,41534.0,41946.0,42318.0,42881.0,43239.0,43484.0,43643,43682
15,"Choctaw County, Alabama",15953,15875,15677.0,15367.0,15199.0,14930.0,14545.0,14431.0,14216.0,14114.0,13976.0,13859,13820
16,"Clarke County, Alabama",27870,27819,27624.0,27267.0,27090.0,26958.0,26764.0,26755.0,26436.0,26283.0,26038.0,25833,25763
17,"Clay County, Alabama",14240,14263,14298.0,14257.0,14203.0,14121.0,14077.0,14053.0,14085.0,14161.0,14006.0,13932,13897
18,"Cleburne County, Alabama",14141,14172,14222.0,14416.0,14438.0,14339.0,14368.0,14538.0,14799.0,14874.0,14918.0,14972,14988
19,"Coffee County, Alabama",43639,43580,43716.0,43930.0,44315.0,45053.0,45604.0,46228.0,47458.0,48516.0,49440.0,49948,50104
20,"Colbert County, Alabama",54979,54997,54793.0,54536.0,54279.0,54380.0,54359.0,54413.0,54486.0,54473.0,54426.0,54428,54433
21,"Conecuh County, Alabama",14077,14035,13940.0,13793.0,13585.0,13430.0,13421.0,13603.0,13441.0,13388.0,13274.0,13228,13202
